step,price,ema20,ema50,vwap,z_flow,volatility,long_signal,exit_signal,pos_size,stop_loss,slippage,drawdown,sharpe,oi_trend,equity,baseline_equity
1,19952.124964648745,19979.92240550167,19959.91798136135,20002.748357365635,0.20786766334783818,0.008893210941380403,False,False,0.0050119974778215556,19553.08246535577,0.0002238749087732155,0.010075374680374451,-0.13638722462394978,7.505633573672071,9955.402341521027,9967.378706682153
2,19858.537880391228,19969.1117985002,19971.061852779312,20003.779340172834,-0.07599944754277954,0.008762292950425668,False,True,0.00503561745594283,19461.367122783402,0.00022440181496464841,0.010075374680374451,-0.09946901472039629,-11.29674076329411,9959.575630495716,10008.975458345294
3,19888.973361773722,19961.401288071454,19966.264279808485,20005.38209465979,1.4846316891434674,0.008971338487161942,False,True,0.005027911606146467,19491.193894538246,0.00022423005164666192,0.010075374680374451,-0.04835089438855319,21.74527051175403,9974.017172210424,10153.52049494848
4,19894.460070768415,19955.063239951385,19964.200670355654,20004.891023880842,-0.5534979001132859,0.008788171822266998,False,True,0.0050265249543984,19496.570869353047,0.00022419912922218055,0.010075374680374451,-0.07425115997418669,-18.66505760249038,9975.291312424866,10166.457503729262
5,19817.810487376373,19943.257437970253,19983.985447317173,20003.02143381248,0.36266435727899404,0.008911276750537772,False,True,0.00504596610527174,19421.454277628847,0.00022463227963210762,0.010075374680374451,-0.10465579185421654,17.862234287996216,9963.684716499678,10048.45953949288
6,19771.87056390926,19927.285794906165,19982.7431463713,19998.928252483503,1.497756497079115,0.009048091941259401,False,True,0.005057690402977642,19376.433152631074,0.00022489309466894804,0.010075374680374451,-0.09527666705694031,-1.5481799010132136,9981.617989219443,10228.66130482813
7,19742.997674362752,19909.984011460343,19978.371635222742,19992.7560118493,1.0005365781428013,0.008895313941772414,False,True,0.005065086956367061,19348.137720875497,0.0002250574805770086,0.010075374680374451,-0.1437507997998319,-6.563772752842738,9973.355758105617,10144.14974114259
8,19730.992278901602,19892.33939548254,19956.616672530385,19981.1748193867,1.1645857350568019,0.008604854686373559,False,True,0.005068168827318951,19336.37243332357,0.00022512593869474372,0.010075374680374451,-0.19577731304234264,-4.998781863415161,9967.861779922492,10088.418003778392
9,19746.292082780936,19879.294209932268,19965.792133678664,19978.15917799984,-0.2495724694638303,0.008597278804419338,False,True,0.005064241913407201,19351.366241125317,0.00022503870585761912,0.010075374680374451,-0.17971812312925595,-12.390365150585012,9969.278031460126,10102.705741288535
10,19782.008646594866,19869.20306058322,19941.9322228281,19971.02773570008,0.6417336038768131,0.008999271228757433,False,True,0.005055098386948349,19386.36847366297,0.0002248354595464948,0.010069658273760253,-0.14521710811117572,5.335020475481315,9988.356899414965,10295.453930113174
11,19833.810133400242,19865.21075691435,19925.15914066761,19967.278298156365,0.9047153006665142,0.008999993810227959,False,True,0.005041895597840753,19437.133930732238,0.00022454165755691645,0.010069658273760253,-0.14525511811283873,-16.957358568747054,9972.782255431608,10135.105900504606
